Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%),Date de lancement
Créa Motion/Vidéo Omega-3 - Sarah,Omega-3,Sarah Martin,Motion/Vidéo,Testimonial,Je bois AG1 depuis 3 mois,Juillet 2025,Arrêtée,2223.68,127,5625.91,2.53,17.51,157844,5951,3.77,2025-07-06
Créa Témoignage Vitamine D3+K2 - Claire,Vitamine D3+K2,Claire Anderson,Témoignage,Éducation,Le shaker qui change tout,Juillet 2025,Archivée,2140.33,52,2846.64,1.33,41.16,280173,6304,2.25,2025-07-12
Créa Podcast Shaker - Kevin,Shaker,Kevin Taylor,Podcast,Santé,Boostez votre immunité,Novembre 2025,Arrêtée,1650.72,135,2657.66,1.61,12.23,66560,1957,2.94,2025-11-28
Créa Motion/Vidéo Shaker - Kevin,Shaker,Kevin Taylor,Motion/Vidéo,Valeur,Mon cœur me remercie,Octobre 2025,Archivée,2633.61,81,3581.71,1.36,32.51,269090,9768,3.63,2025-10-19
Créa Motion/Vidéo Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. Robert White,Motion/Vidéo,Valeur,Essentiel en hiver,Novembre 2025,En pause,2574.55,108,1699.20,0.66,23.84,266447,6448,2.42,2025-11-19
Créa Podcast Omega-3 - Lisa,Omega-3,Lisa Garcia,Podcast,Valeur,Boostez votre immunité,Juillet 2025,Arrêtée,1997.40,107,3175.87,1.59,18.67,70680,1993,2.82,2025-07-16
Créa Image statique Omega-3 - Alex,Omega-3,Alex Johnson,Image statique,Valeur,Je bois AG1 depuis 3 mois,Novembre 2025,En pause,2214.46,103,1395.11,0.63,21.50,71024,2649,3.73,2025-11-11
Créa Image statique AG1 Travel Packs - Sarah,AG1 Travel Packs,Sarah Martin,Image statique,Éducation,Ne manquez jamais votre dose,Août 2025,En pause,2095.12,109,4755.92,2.27,19.22,59627,1342,2.25,2025-08-12
Créa UGC Omega-3 - Dr.,Omega-3,Dr. Michael Lee,UGC,Convenience,Parfait pour voyager,Octobre 2025,En ligne,2661.47,43,9288.53,3.49,61.89,200841,4218,2.10,2025-10-23
Créa UGC AG1 Travel Packs - Claire,AG1 Travel Packs,Claire Anderson,UGC,Santé,Le meilleur rapport qualité-prix,Septembre 2025,En ligne,2476.21,26,3491.46,1.41,95.24,201348,6443,3.20,2025-09-12
Créa UGC Bundle Complet - Emma,Bundle Complet,Emma Wilson,UGC,Éducation,Parfait pour voyager,Août 2025,En ligne,1077.62,140,851.32,0.79,7.70,190375,5692,2.99,2025-08-03
Créa UGC Abonnement - Claire,Abonnement,Claire Anderson,UGC,Santé,Mon cœur me remercie,Août 2025,Arrêtée,1098.42,140,2427.51,2.21,7.85,109764,2525,2.30,2025-08-01
Créa Image statique Shaker - Sarah,Shaker,Sarah Martin,Image statique,Santé,Ma transformation en 2 mois,Septembre 2025,Archivée,750.62,121,2124.25,2.83,6.20,77478,1728,2.23,2025-09-14
Créa Image statique Vitamine D3+K2 - Julie,Vitamine D3+K2,Julie Bernard,Image statique,Valeur,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,Arrêtée,1081.47,113,1697.91,1.57,9.57,101448,2496,2.46,2025-11-16
Créa Motion/Vidéo Abonnement - Laura,Abonnement,Laura Davis,Motion/Vidéo,Éducation,Parfait pour voyager,Septembre 2025,En pause,952.87,43,3192.11,3.35,22.16,249412,6834,2.74,2025-09-16
Créa UGC AG1 Travel Packs - Marc,AG1 Travel Packs,Marc Petit,UGC,Éducation,Ma transformation en 2 mois,Juillet 2025,Archivée,1267.69,26,1242.34,0.98,48.76,143372,3670,2.56,2025-07-09
Créa UGC Shaker - Julie,Shaker,Julie Bernard,UGC,Santé,Ma transformation en 2 mois,Juillet 2025,Arrêtée,1657.53,28,5718.48,3.45,59.20,116098,4284,3.69,2025-07-20
Créa Podcast Omega-3 - Dr.,Omega-3,Dr. Robert White,Podcast,Éducation,Pourquoi les nutritionnistes recommandent AG1,Octobre 2025,En pause,1556.53,51,3455.50,2.22,30.52,88149,2600,2.95,2025-10-10
Créa Témoignage Abonnement - Paul,Abonnement,Paul Martinez,Témoignage,Accessoire,Économisez avec le bundle,Septembre 2025,En ligne,2548.75,82,7620.76,2.99,31.08,140146,4653,3.32,2025-09-19
Créa Témoignage Abonnement - David,Abonnement,David Chen,Témoignage,Éducation,Parfait pour voyager,Août 2025,Arrêtée,686.55,150,1949.80,2.84,4.58,290158,10272,3.54,2025-08-03
Créa UGC Abonnement - Anna,Abonnement,Anna Schmidt,UGC,Éducation,L'importance d'un bon mélange,Juillet 2025,En ligne,2057.04,112,5985.99,2.91,18.37,218592,7061,3.23,2025-07-18
Créa Podcast Bundle Complet - Pierre,Bundle Complet,Pierre Moreau,Podcast,Valeur,Économisez avec le bundle,Novembre 2025,Archivée,2521.52,110,1285.98,0.51,22.92,150875,5100,3.38,2025-11-21
Créa Image statique Bundle Complet - Dr.,Bundle Complet,Dr. Michael Lee,Image statique,Valeur,Ma transformation en 2 mois,Novembre 2025,Arrêtée,1728.26,140,1417.17,0.82,12.34,153375,5184,3.38,2025-11-08
Créa Motion/Vidéo Shaker - Dr.,Shaker,Dr. Michael Lee,Motion/Vidéo,Santé,N'oubliez plus jamais,Octobre 2025,En ligne,686.00,93,2352.98,3.43,7.38,169367,3472,2.05,2025-10-28
Créa Témoignage Shaker - Kevin,Shaker,Kevin Taylor,Témoignage,Accessoire,N'oubliez plus jamais,Octobre 2025,Arrêtée,1534.96,92,2901.07,1.89,16.68,152216,5510,3.62,2025-10-13
Créa UGC AG1 Powder - Dr.,AG1 Powder,Dr. Michael Lee,UGC,Éducation,Emportez AG1 partout,Juillet 2025,Archivée,777.55,85,738.67,0.95,9.15,279042,8260,2.96,2025-07-28
Créa Motion/Vidéo Abonnement - Sarah,Abonnement,Sarah Martin,Motion/Vidéo,Éducation,Mon expérience avec Omega-3,Juillet 2025,Arrêtée,2834.76,54,8901.15,3.14,52.50,144094,5504,3.82,2025-07-05
Créa Motion/Vidéo AG1 Powder - Camille,AG1 Powder,Camille Rousseau,Motion/Vidéo,Convenience,Le shaker qui change tout,Octobre 2025,En ligne,1020.17,54,3182.93,3.12,18.89,208927,6247,2.99,2025-10-05
Créa UGC Omega-3 - Alex,Omega-3,Alex Johnson,UGC,Testimonial,Ne manquez jamais votre dose,Juillet 2025,En ligne,1736.77,85,1337.31,0.77,20.43,99720,3161,3.17,2025-07-17
Créa Témoignage Bundle Complet - Laura,Bundle Complet,Laura Davis,Témoignage,Convenience,Boostez votre immunité,Novembre 2025,Archivée,2689.96,95,4572.93,1.70,28.32,149439,4513,3.02,2025-11-22
Créa Image statique Bundle Complet - Dr.,Bundle Complet,Dr. Robert White,Image statique,Testimonial,L'importance d'un bon mélange,Août 2025,En pause,1275.99,59,752.83,0.59,21.63,268774,6316,2.35,2025-08-24
Créa UGC Shaker - Dr.,Shaker,Dr. Michael Lee,UGC,Santé,Parfait pour voyager,Août 2025,Arrêtée,2357.07,46,3441.32,1.46,51.24,211755,7835,3.70,2025-08-09
Créa Image statique Shaker - Dr.,Shaker,Dr. Robert White,Image statique,Éducation,Ne manquez jamais votre dose,Juillet 2025,Archivée,1636.73,48,2504.20,1.53,34.10,76429,1697,2.22,2025-07-17
Créa Podcast Shaker - Camille,Shaker,Camille Rousseau,Podcast,Valeur,Mon expérience avec Omega-3,Septembre 2025,En ligne,2245.87,40,7343.99,3.27,56.15,294058,7646,2.60,2025-09-22
Créa Témoignage Omega-3 - Alex,Omega-3,Alex Johnson,Témoignage,Valeur,Le meilleur rapport qualité-prix,Novembre 2025,Arrêtée,1788.55,40,3523.44,1.97,44.71,226454,4914,2.17,2025-11-17
Créa Motion/Vidéo AG1 Travel Packs - Alex,AG1 Travel Packs,Alex Johnson,Motion/Vidéo,Santé,Le shaker qui change tout,Juillet 2025,Arrêtée,1213.05,53,3469.32,2.86,22.89,167414,6462,3.86,2025-07-10
Créa Témoignage AG1 Travel Packs - Tom,AG1 Travel Packs,Tom Brown,Témoignage,Santé,Emportez AG1 partout,Juillet 2025,Archivée,1906.18,129,1162.77,0.61,14.78,130165,3606,2.77,2025-07-19
Créa Podcast AG1 Travel Packs - Pierre,AG1 Travel Packs,Pierre Moreau,Podcast,Éducation,Mon expérience avec Omega-3,Juillet 2025,Arrêtée,2778.77,75,8780.91,3.16,37.05,122080,3101,2.54,2025-07-09
Créa Témoignage Abonnement - Sarah,Abonnement,Sarah Martin,Témoignage,Testimonial,N'oubliez plus jamais,Octobre 2025,Archivée,2038.46,18,2568.46,1.26,113.25,287663,8026,2.79,2025-10-07
Créa Image statique AG1 Travel Packs - Pierre,AG1 Travel Packs,Pierre Moreau,Image statique,Santé,L'importance d'un bon mélange,Juillet 2025,En pause,861.59,82,1680.10,1.95,10.51,86429,2679,3.10,2025-07-09
Créa Podcast AG1 Powder - Camille,AG1 Powder,Camille Rousseau,Podcast,Accessoire,Pourquoi les nutritionnistes recommandent AG1,Août 2025,En pause,1909.95,80,6493.83,3.40,23.87,64128,2264,3.53,2025-08-16
Créa Podcast AG1 Powder - Dr.,AG1 Powder,Dr. Robert White,Podcast,Santé,Ma transformation en 2 mois,Septembre 2025,Arrêtée,1890.76,59,4859.25,2.57,32.05,158267,5286,3.34,2025-09-09
Créa Image statique AG1 Powder - Marie,AG1 Powder,Marie Dubois,Image statique,Accessoire,N'oubliez plus jamais,Août 2025,En pause,914.70,120,622.00,0.68,7.62,270070,6941,2.57,2025-08-26
Créa Image statique AG1 Travel Packs - Julie,AG1 Travel Packs,Julie Bernard,Image statique,Éducation,Boostez votre immunité,Juillet 2025,En pause,868.52,112,2735.84,3.15,7.75,232955,5801,2.49,2025-07-03
Créa Témoignage Omega-3 - Anna,Omega-3,Anna Schmidt,Témoignage,Valeur,Ma transformation en 2 mois,Septembre 2025,En ligne,1546.76,98,1639.57,1.06,15.78,59371,1787,3.01,2025-09-15
Créa Image statique Abonnement - Sarah,Abonnement,Sarah Martin,Image statique,Testimonial,Mon cœur me remercie,Août 2025,En pause,1131.68,21,826.13,0.73,53.89,233049,8809,3.78,2025-08-09
Créa Podcast Vitamine D3+K2 - Emma,Vitamine D3+K2,Emma Wilson,Podcast,Testimonial,Mon expérience avec Omega-3,Août 2025,En ligne,2006.12,63,1705.20,0.85,31.84,194461,7078,3.64,2025-08-07
Créa Image statique AG1 Powder - Tom,AG1 Powder,Tom Brown,Image statique,Éducation,Parfait pour voyager,Octobre 2025,En pause,1864.60,53,5687.03,3.05,35.18,181194,4077,2.25,2025-10-10
Créa UGC Vitamine D3+K2 - Marc,Vitamine D3+K2,Marc Petit,UGC,Éducation,L'importance d'un bon mélange,Octobre 2025,Arrêtée,1363.38,26,4158.31,3.05,52.44,116508,3122,2.68,2025-10-05
Créa Motion/Vidéo Omega-3 - Sophie,Omega-3,Sophie Martin,Motion/Vidéo,Testimonial,Mon expérience avec Omega-3,Juillet 2025,Arrêtée,1376.43,62,4789.98,3.48,22.20,231242,6683,2.89,2025-07-25
Créa Image statique AG1 Powder - Camille,AG1 Powder,Camille Rousseau,Image statique,Éducation,Parfait pour voyager,Novembre 2025,En ligne,783.80,121,2633.57,3.36,6.48,136493,4313,3.16,2025-11-26
Créa Image statique AG1 Travel Packs - Marc,AG1 Travel Packs,Marc Petit,Image statique,Valeur,Pourquoi les nutritionnistes recommandent AG1,Août 2025,Arrêtée,2580.07,142,2992.88,1.16,18.17,180001,4518,2.51,2025-08-21
Créa Témoignage Vitamine D3+K2 - Claire,Vitamine D3+K2,Claire Anderson,Témoignage,Éducation,Mon cœur me remercie,Septembre 2025,Archivée,1652.25,19,4444.55,2.69,86.96,264971,10148,3.83,2025-09-24
Créa UGC Abonnement - Claire,Abonnement,Claire Anderson,UGC,Santé,Ma transformation en 2 mois,Novembre 2025,En pause,1720.34,126,1324.66,0.77,13.65,276916,10717,3.87,2025-11-18
Créa Témoignage Vitamine D3+K2 - Marie,Vitamine D3+K2,Marie Dubois,Témoignage,Éducation,N'oubliez plus jamais,Octobre 2025,En pause,536.85,24,1116.65,2.08,22.37,114867,4066,3.54,2025-10-25
Créa Image statique Vitamine D3+K2 - Sophie,Vitamine D3+K2,Sophie Martin,Image statique,Accessoire,L'importance d'un bon mélange,Septembre 2025,Archivée,582.19,80,1344.86,2.31,7.28,155226,4113,2.65,2025-09-14
Créa Témoignage Vitamine D3+K2 - Kevin,Vitamine D3+K2,Kevin Taylor,Témoignage,Éducation,Essentiel en hiver,Octobre 2025,En pause,2914.36,139,1748.62,0.60,20.97,177578,4244,2.39,2025-10-22
Créa Témoignage Abonnement - Sarah,Abonnement,Sarah Martin,Témoignage,Éducation,Parfait pour voyager,Octobre 2025,Archivée,1350.11,119,4158.34,3.08,11.35,207844,4801,2.31,2025-10-02
Créa Image statique Vitamine D3+K2 - David,Vitamine D3+K2,David Chen,Image statique,Convenience,Ne manquez jamais votre dose,Juillet 2025,Archivée,600.31,81,1224.63,2.04,7.41,104379,3643,3.49,2025-07-16
Créa Témoignage Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. Michael Lee,Témoignage,Éducation,L'importance d'un bon mélange,Juillet 2025,Archivée,2026.35,22,6079.05,3.00,92.11,130462,4149,3.18,2025-07-11
Créa Témoignage Omega-3 - Paul,Omega-3,Paul Martinez,Témoignage,Éducation,Pourquoi les nutritionnistes recommandent AG1,Juillet 2025,Arrêtée,2069.35,46,6290.82,3.04,44.99,123983,3310,2.67,2025-07-22
Créa UGC Omega-3 - Laura,Omega-3,Laura Davis,UGC,Éducation,Boostez votre immunité,Octobre 2025,En ligne,1743.10,131,3921.98,2.25,13.31,114093,4336,3.80,2025-10-27
Créa Podcast AG1 Travel Packs - Paul,AG1 Travel Packs,Paul Martinez,Podcast,Accessoire,Boostez votre immunité,Août 2025,Arrêtée,2895.37,101,1853.04,0.64,28.67,239837,7867,3.28,2025-08-17
Créa UGC AG1 Powder - Dr.,AG1 Powder,Dr. Michael Lee,UGC,Santé,Boostez votre immunité,Octobre 2025,Arrêtée,1408.16,119,4323.05,3.07,11.83,216696,8148,3.76,2025-10-18
Créa Podcast AG1 Travel Packs - Alex,AG1 Travel Packs,Alex Johnson,Podcast,Accessoire,Le meilleur rapport qualité-prix,Août 2025,Arrêtée,1067.01,147,2272.73,2.13,7.26,84887,2334,2.75,2025-08-25
Créa Image statique AG1 Powder - Pierre,AG1 Powder,Pierre Moreau,Image statique,Accessoire,Le meilleur rapport qualité-prix,Novembre 2025,En pause,843.46,122,1332.67,1.58,6.91,67237,2098,3.12,2025-11-13
Créa Image statique Omega-3 - Sophie,Omega-3,Sophie Martin,Image statique,Valeur,Ne manquez jamais votre dose,Octobre 2025,En ligne,2467.57,114,6859.84,2.78,21.65,176262,6645,3.77,2025-10-06
Créa UGC Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. Robert White,UGC,Valeur,L'importance d'un bon mélange,Octobre 2025,En ligne,946.66,19,1240.12,1.31,49.82,272299,5473,2.01,2025-10-08
Créa Témoignage AG1 Travel Packs - Alex,AG1 Travel Packs,Alex Johnson,Témoignage,Santé,Essentiel en hiver,Septembre 2025,En pause,2416.05,57,1667.07,0.69,42.39,152190,3272,2.15,2025-09-19
Créa Podcast Abonnement - Dr.,Abonnement,Dr. Robert White,Podcast,Éducation,Emportez AG1 partout,Juillet 2025,En pause,1951.76,101,1327.20,0.68,19.32,163663,6006,3.67,2025-07-12
Créa Motion/Vidéo AG1 Travel Packs - Emma,AG1 Travel Packs,Emma Wilson,Motion/Vidéo,Santé,Mon expérience avec Omega-3,Septembre 2025,En ligne,2303.30,133,3155.52,1.37,17.32,246323,6060,2.46,2025-09-17
Créa Motion/Vidéo Bundle Complet - David,Bundle Complet,David Chen,Motion/Vidéo,Valeur,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,En ligne,1723.87,146,5171.61,3.00,11.81,72117,2358,3.27,2025-11-11
Créa Témoignage AG1 Powder - Pierre,AG1 Powder,Pierre Moreau,Témoignage,Valeur,L'importance d'un bon mélange,Août 2025,En ligne,1519.27,131,1701.58,1.12,11.60,195082,6750,3.46,2025-08-21
Créa Podcast Vitamine D3+K2 - Marc,Vitamine D3+K2,Marc Petit,Podcast,Santé,Emportez AG1 partout,Août 2025,En pause,1203.51,139,926.70,0.77,8.66,159940,5214,3.26,2025-08-12
Créa Témoignage AG1 Powder - Dr.,AG1 Powder,Dr. Michael Lee,Témoignage,Accessoire,N'oubliez plus jamais,Juillet 2025,Archivée,1693.72,21,1168.67,0.69,80.65,125913,3765,2.99,2025-07-23
Créa Podcast Bundle Complet - Sophie,Bundle Complet,Sophie Martin,Podcast,Éducation,Pourquoi les nutritionnistes recommandent AG1,Août 2025,Archivée,2271.45,93,2203.31,0.97,24.42,134038,3820,2.85,2025-08-16
Créa Image statique AG1 Powder - Tom,AG1 Powder,Tom Brown,Image statique,Convenience,Parfait pour voyager,Octobre 2025,Archivée,1281.76,83,4024.73,3.14,15.44,234942,5333,2.27,2025-10-21
Créa Image statique Shaker - David,Shaker,David Chen,Image statique,Accessoire,Essentiel en hiver,Novembre 2025,En pause,1568.37,19,5426.56,3.46,82.55,159541,4866,3.05,2025-11-09
Créa Podcast Bundle Complet - Emma,Bundle Complet,Emma Wilson,Podcast,Santé,Ne manquez jamais votre dose,Septembre 2025,Archivée,670.12,62,944.87,1.41,10.81,297665,6489,2.18,2025-09-22
Créa Podcast Shaker - Kevin,Shaker,Kevin Taylor,Podcast,Accessoire,Le meilleur rapport qualité-prix,Septembre 2025,En ligne,2360.42,146,7576.95,3.21,16.17,246471,9070,3.68,2025-09-20
Créa Podcast Abonnement - David,Abonnement,David Chen,Podcast,Accessoire,Le shaker qui change tout,Août 2025,Archivée,1905.45,36,3315.48,1.74,52.93,279513,10985,3.93,2025-08-03
Créa Témoignage AG1 Travel Packs - Paul,AG1 Travel Packs,Paul Martinez,Témoignage,Valeur,Essentiel en hiver,Novembre 2025,En ligne,2322.43,21,7594.35,3.27,110.59,277754,8444,3.04,2025-11-25
Créa Témoignage Abonnement - Kevin,Abonnement,Kevin Taylor,Témoignage,Éducation,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,Arrêtée,2048.70,35,3236.95,1.58,58.53,235739,8652,3.67,2025-11-10
Créa Image statique Omega-3 - Emma,Omega-3,Emma Wilson,Image statique,Testimonial,L'importance d'un bon mélange,Novembre 2025,En pause,2480.67,43,6697.81,2.70,57.69,166187,6498,3.91,2025-11-23
Créa Image statique Abonnement - Marc,Abonnement,Marc Petit,Image statique,Éducation,Boostez votre immunité,Juillet 2025,Arrêtée,2025.50,117,6643.64,3.28,17.31,85169,2351,2.76,2025-07-14
Créa Témoignage Shaker - Tom,Shaker,Tom Brown,Témoignage,Accessoire,Économisez avec le bundle,Juillet 2025,En pause,960.09,149,1267.32,1.32,6.44,146137,4720,3.23,2025-07-19
Créa Motion/Vidéo Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. James Smith,Motion/Vidéo,Éducation,Économisez avec le bundle,Octobre 2025,Archivée,2325.04,42,2464.54,1.06,55.36,218191,7309,3.35,2025-10-24
Créa UGC AG1 Travel Packs - Laura,AG1 Travel Packs,Laura Davis,UGC,Testimonial,Ne manquez jamais votre dose,Août 2025,Archivée,2780.24,134,2863.65,1.03,20.75,294646,6600,2.24,2025-08-02
Créa UGC AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. Michael Lee,UGC,Testimonial,Emportez AG1 partout,Octobre 2025,En pause,1018.10,114,2738.69,2.69,8.93,148267,4211,2.84,2025-10-05
Créa Motion/Vidéo AG1 Powder - Claire,AG1 Powder,Claire Anderson,Motion/Vidéo,Convenience,Ma transformation en 2 mois,Août 2025,En pause,2419.56,121,1427.54,0.59,20.00,270771,9287,3.43,2025-08-16
Créa Témoignage Vitamine D3+K2 - Alex,Vitamine D3+K2,Alex Johnson,Témoignage,Testimonial,Boostez votre immunité,Novembre 2025,En ligne,690.03,135,1593.97,2.31,5.11,265076,5302,2.00,2025-11-22
Créa UGC AG1 Powder - David,AG1 Powder,David Chen,UGC,Convenience,Mon cœur me remercie,Juillet 2025,Archivée,1825.89,78,4455.17,2.44,23.41,182363,4577,2.51,2025-07-03
Créa UGC AG1 Travel Packs - Laura,AG1 Travel Packs,Laura Davis,UGC,Éducation,Mon expérience avec Omega-3,Octobre 2025,Archivée,2647.35,140,4977.02,1.88,18.91,219743,4593,2.09,2025-10-20
Créa UGC Shaker - Claire,Shaker,Claire Anderson,UGC,Accessoire,Essentiel en hiver,Juillet 2025,En pause,2582.95,22,5088.41,1.97,117.41,155821,4036,2.59,2025-07-04
Créa Témoignage Abonnement - Anna,Abonnement,Anna Schmidt,Témoignage,Valeur,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,Archivée,2544.42,51,3613.08,1.42,49.89,287821,10822,3.76,2025-11-21
Créa Motion/Vidéo AG1 Travel Packs - Tom,AG1 Travel Packs,Tom Brown,Motion/Vidéo,Testimonial,Économisez avec le bundle,Septembre 2025,Archivée,2232.07,125,7477.43,3.35,17.86,289624,8370,2.89,2025-09-09
Créa Image statique Bundle Complet - Dr.,Bundle Complet,Dr. Michael Lee,Image statique,Éducation,Ma transformation en 2 mois,Novembre 2025,Archivée,1947.35,80,3758.39,1.93,24.34,196601,4227,2.15,2025-11-19
Créa UGC AG1 Powder - Pierre,AG1 Powder,Pierre Moreau,UGC,Testimonial,N'oubliez plus jamais,Septembre 2025,Archivée,1315.09,34,3248.27,2.47,38.68,82042,2387,2.91,2025-09-05
Créa Podcast Vitamine D3+K2 - Kevin,Vitamine D3+K2,Kevin Taylor,Podcast,Valeur,Essentiel en hiver,Juillet 2025,Archivée,2229.25,143,1181.50,0.53,15.59,248783,7837,3.15,2025-07-19
Créa Motion/Vidéo Omega-3 - Dr.,Omega-3,Dr. Robert White,Motion/Vidéo,Valeur,Pourquoi les nutritionnistes recommandent AG1,Août 2025,En pause,840.61,77,2849.67,3.39,10.92,217754,4442,2.04,2025-08-23
Créa Témoignage Omega-3 - Dr.,Omega-3,Dr. Michael Lee,Témoignage,Éducation,Emportez AG1 partout,Août 2025,Archivée,568.96,21,733.96,1.29,27.09,199673,6310,3.16,2025-08-13
Créa Témoignage Shaker - Laura,Shaker,Laura Davis,Témoignage,Accessoire,Ne manquez jamais votre dose,Juillet 2025,Arrêtée,2652.58,15,8859.62,3.34,176.84,297286,11118,3.74,2025-07-17
Créa Podcast AG1 Travel Packs - Paul,AG1 Travel Packs,Paul Martinez,Podcast,Convenience,Mon expérience avec Omega-3,Septembre 2025,En ligne,576.12,34,339.91,0.59,16.94,285959,10295,3.60,2025-09-17
Créa UGC Omega-3 - Dr.,Omega-3,Dr. Robert White,UGC,Santé,N'oubliez plus jamais,Septembre 2025,En pause,1487.43,124,3659.08,2.46,12.00,135022,3754,2.78,2025-09-04
Créa UGC Omega-3 - Camille,Omega-3,Camille Rousseau,UGC,Éducation,Ne manquez jamais votre dose,Octobre 2025,En ligne,2980.79,15,9300.06,3.12,198.72,184524,7381,4.00,2025-10-27
Créa Podcast AG1 Powder - Lisa,AG1 Powder,Lisa Garcia,Podcast,Éducation,Emportez AG1 partout,Octobre 2025,En ligne,1673.87,119,903.89,0.54,14.07,80244,2102,2.62,2025-10-26
Créa UGC Vitamine D3+K2 - Anna,Vitamine D3+K2,Anna Schmidt,UGC,Éducation,Économisez avec le bundle,Septembre 2025,En pause,1680.74,19,4857.34,2.89,88.46,155121,3909,2.52,2025-09-23
Créa UGC Shaker - Marie,Shaker,Marie Dubois,UGC,Éducation,Ma transformation en 2 mois,Octobre 2025,En pause,1034.88,68,2504.41,2.42,15.22,102140,3810,3.73,2025-10-02
Créa UGC Shaker - Sarah,Shaker,Sarah Martin,UGC,Accessoire,Je bois AG1 depuis 3 mois,Septembre 2025,En pause,648.95,81,1622.38,2.50,8.01,65951,1425,2.16,2025-09-12
Créa Podcast Shaker - Pierre,Shaker,Pierre Moreau,Podcast,Santé,Économisez avec le bundle,Octobre 2025,Archivée,2290.30,71,7924.44,3.46,32.26,247358,9251,3.74,2025-10-27
Créa Témoignage AG1 Powder - Julie,AG1 Powder,Julie Bernard,Témoignage,Accessoire,Ma transformation en 2 mois,Juillet 2025,En pause,2038.69,81,3914.28,1.92,25.17,140452,4537,3.23,2025-07-04
Créa Podcast Vitamine D3+K2 - Pierre,Vitamine D3+K2,Pierre Moreau,Podcast,Testimonial,Pourquoi les nutritionnistes recommandent AG1,Septembre 2025,Archivée,1511.87,17,2116.62,1.40,88.93,116850,2617,2.24,2025-09-03
